Pslack,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,Bus 10,Bus 11,System Loss
78.958,9.7842,42.473,21.552,3.4267,5.0499,13.301,4.058,1.5781,2.7504,6.087,6.7182,2.1993
81.232,9.967,43.267,21.955,3.4908,5.1443,13.55,4.1338,1.6076,2.8018,6.2007,6.8437,2.2921
68.157,8.9136,38.694,19.635,3.1218,4.6006,12.118,3.6969,1.4377,2.5057,5.5453,6.1204,1.7895
59.451,8.2072,35.627,18.078,2.8744,4.236,11.157,3.4039,1.3237,2.3071,5.1058,5.6353,1.5096
46.915,7.1957,31.236,15.85,2.5201,3.7139,9.7821,2.9844,1.1606,2.0227,4.4766,4.9408,1.0469
33.613,6.107,26.511,13.452,2.1389,3.152,8.3022,2.5329,0.98501,1.7167,3.7993,4.1933,0.73677
17.806,4.8048,20.858,10.584,1.6828,2.4799,6.5319,1.9928,0.77497,1.3507,2.9892,3.2992,0.47775
-1.974,3.1658,13.743,6.9736,1.1088,1.634,4.3038,1.313,0.51062,0.88993,1.9695,2.1738,0.25988
-10.443,2.4596,10.677,5.4179,0.86142,1.2695,3.3437,1.0201,0.39671,0.6914,1.5301,1.6888,0.21997
-9.3531,2.5506,11.072,5.6184,0.89331,1.3165,3.4674,1.0579,0.41139,0.717,1.5868,1.7514,0.2233
